epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,2.050882352371216,2.012796103286743,75.19800000000001,75.87,21.870000000000005,18.89
2,1.9126270907974243,1.7474054237365724,71.094,65.55,17.646,12.86
3,1.8054651665496826,1.7424800128936768,66.598,66.9,14.578000000000003,12.120000000000005
4,1.7039544466400147,1.6521520069122315,62.626,60.6,12.067999999999998,10.950000000000003
5,1.5878957995224,1.5685755725860595,57.838,57.18,9.718000000000004,9.689999999999998
6,1.4734734075164795,1.5094284675598144,52.812,53.97,7.825999999999993,9.760000000000005
7,1.3423185123062134,1.5424023017883302,48.012,54.78,6.305999999999997,8.379999999999995
8,1.2438610075759888,1.4000102880477905,44.21,48.06,5.254000000000005,7.959999999999994
9,1.1597829750823974,1.2006830018997192,40.712,42.91,4.530000000000001,4.1299999999999955
10,1.0704246649169922,1.1523281412124633,38.158,40.63,3.6580000000000013,4.469999999999999
11,1.0044256843566894,1.1590376265525817,35.452,39.75,3.2720000000000056,5.1299999999999955
12,0.9438730970001221,1.1291338445663452,33.18000000000001,39.09,2.8059999999999974,5.280000000000001
13,0.8903258513641358,0.9763769086837768,31.364000000000004,34.5,2.3559999999999945,2.75
14,0.8460337505722045,0.931611078453064,29.563999999999993,32.629999999999995,2.156000000000006,2.6299999999999955
15,0.8111634892463684,0.9948798839569092,28.436000000000007,34.370000000000005,1.8960000000000008,3.260000000000005
16,0.7712533576583862,0.8561173572540283,26.861999999999995,29.909999999999997,1.75,2.4200000000000017
17,0.7352029075241089,0.9552999345779419,25.495999999999995,32.879999999999995,1.5319999999999965,2.719999999999999
18,0.71196905752182,0.9004525577545166,24.665999999999997,31.11,1.4980000000000047,2.4399999999999977
19,0.6839798175811768,0.8690371925354003,23.632000000000005,29.310000000000002,1.3719999999999999,2.3700000000000045
20,0.6529995079612732,0.7698381270408631,22.641999999999996,26.620000000000005,1.1880000000000024,1.7199999999999989
21,0.6347177712249756,0.8309641386985779,21.787999999999997,27.810000000000002,1.1700000000000017,2.6500000000000057
22,0.613918334350586,0.8161019643783569,21.325999999999993,27.069999999999993,1.1219999999999999,2.2099999999999937
23,0.59559430103302,0.8105845933914184,20.592,27.069999999999993,0.9680000000000035,1.9000000000000057
24,0.5756967315769196,0.6703834285736084,19.714,23.129999999999995,0.9920000000000044,1.4099999999999966
25,0.5644036118507385,1.2441075260162353,19.563999999999993,37.7,0.8739999999999952,6.099999999999994
26,0.5495988033294678,0.8049222408294677,18.757999999999996,26.650000000000006,0.8960000000000008,1.730000000000004
27,0.5417336729240417,0.7808999273300171,18.653999999999996,26.560000000000002,0.8799999999999955,2.0900000000000034
28,0.5180016978645324,0.7117791717529297,17.933999999999997,23.689999999999998,0.7660000000000053,1.3499999999999943
29,0.5135454668235779,0.7152220867156982,17.590000000000003,24.049999999999997,0.8340000000000032,1.5300000000000011
30,0.4923506263923645,0.7698873682022095,17.099999999999994,25.909999999999997,0.7099999999999937,1.1700000000000017
31,0.4879583219432831,0.6172375121116638,16.712000000000003,21.549999999999997,0.6919999999999931,0.9500000000000028
32,0.48185786853790286,0.6556527649879456,16.445999999999998,21.799999999999997,0.6599999999999966,1.1400000000000006
33,0.4667800735473633,0.7944606782913208,16.048000000000002,26.480000000000004,0.5919999999999987,1.5
34,0.4592125895118713,0.7117892860412598,15.781999999999996,22.769999999999996,0.6159999999999997,2.180000000000007
35,0.4539753729057312,0.5532102321624756,15.653999999999996,18.560000000000002,0.5799999999999983,0.9500000000000028
36,0.4435766950988769,0.6698487868309021,15.366,22.290000000000006,0.5180000000000007,1.4200000000000017
37,0.43221654967308043,0.5897600315093994,14.902000000000001,19.950000000000003,0.4819999999999993,1.2000000000000028
38,0.43084720980644226,0.6655795030593872,14.787999999999997,22.28,0.5619999999999976,1.4099999999999966
39,0.4236342084121704,0.5608233655929565,14.561999999999998,18.86,0.49800000000000466,1.1099999999999994
40,0.41069638887405396,0.5462442501068115,14.114000000000004,18.129999999999995,0.4860000000000042,1.0999999999999943
41,0.40479342697143555,0.5318568493843079,14.024000000000001,18.180000000000007,0.46999999999999886,0.7600000000000051
42,0.4039397699928284,0.5289228061199188,13.822000000000003,17.900000000000006,0.4719999999999942,0.7900000000000063
43,0.3971186386013031,0.5088379605293274,13.634,16.930000000000007,0.4759999999999991,0.7800000000000011
44,0.3890570770359039,0.5936332365989685,13.489999999999995,19.730000000000004,0.4140000000000015,0.9699999999999989
