epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,2.1654029927062988,2.113977778053284,80.514,76.42,28.852000000000004,26.299999999999997
2,2.0327083588409423,1.9228552181243896,77.008,72.41,21.903999999999996,16.870000000000005
3,1.867084219894409,1.7868497549057007,71.65,67.0,15.579999999999998,12.939999999999998
4,1.7296820873641967,1.6712454555511476,63.702,59.93,12.366,10.739999999999995
5,1.562408212852478,1.555361922454834,55.126,55.53,9.058000000000007,7.439999999999998
6,1.4176138540649414,1.370951400566101,48.382,46.62,7.201999999999998,6.579999999999998
7,1.3286923095321654,1.3864561292648316,44.444,46.33,6.242000000000004,7.209999999999994
8,1.25401437374115,1.2608257440567017,41.428,41.48,5.352000000000004,5.400000000000006
9,1.180804870071411,1.220425587463379,38.058,39.61,4.787999999999997,5.409999999999997
10,1.144087933769226,1.1359202808380127,36.502,36.31,4.420000000000002,5.060000000000002
11,1.0991517089080811,1.2537197170257568,34.678,41.69,4.1200000000000045,5.599999999999994
12,1.057951760559082,1.0368351903915405,33.006,32.150000000000006,3.5259999999999962,3.680000000000007
13,1.0222105682373046,1.05463025226593,31.372,33.16,3.415999999999997,3.2099999999999937
14,0.9944388412094116,1.0258163619995118,30.036,31.599999999999994,3.2420000000000044,3.780000000000001
15,0.9589105599212646,0.9762206911087036,28.918000000000006,29.060000000000002,2.9180000000000064,3.3499999999999943
16,0.9419580878829956,1.0454081010818481,28.019999999999996,31.86,2.7420000000000044,4.219999999999999
17,0.9164687582015991,0.9405409867286683,26.774,28.260000000000005,2.5259999999999962,3.019999999999996
18,0.8938906187820435,0.9159212135314941,26.061999999999998,27.019999999999996,2.4639999999999986,2.799999999999997
19,0.8711461961174011,0.8690201648712158,24.790000000000006,25.0,2.396000000000001,2.4599999999999937
20,0.8528922581291198,0.8784325481414795,24.043999999999997,25.319999999999993,2.274000000000001,2.9200000000000017
21,0.8389166435623169,0.9325650659561158,23.504000000000005,27.459999999999994,2.1159999999999997,2.930000000000007
22,0.8235937890434265,0.9508480212211609,22.938000000000002,27.620000000000005,1.9779999999999944,4.1200000000000045
23,0.8075980224227906,0.8218388288497925,22.156000000000006,23.200000000000003,1.8900000000000006,2.200000000000003
24,0.7968325450515747,0.8828641844749451,21.843999999999994,25.099999999999994,1.9519999999999982,3.069999999999993
25,0.779870167541504,1.0492478899002076,20.914,30.840000000000003,1.8299999999999983,5.790000000000006
26,0.777879478263855,0.8174919739723205,20.849999999999994,22.78,1.7459999999999951,2.5400000000000063
27,0.7639890739822388,0.7976447995185852,20.296000000000006,21.810000000000002,1.7480000000000047,2.030000000000001
28,0.7592804634284973,0.7861455124855041,20.224000000000004,21.569999999999993,1.691999999999993,1.9399999999999977
29,0.7471932065582275,0.7987096412658692,19.566000000000003,21.650000000000006,1.686000000000007,2.069999999999993
30,0.7387670488166809,0.7884469778060913,19.257999999999996,21.459999999999994,1.593999999999994,1.8799999999999955
31,0.7311205644607544,0.7675621509552002,18.959999999999994,20.400000000000006,1.5919999999999987,1.9599999999999937
32,0.7211887632369995,0.7629923915863037,18.450000000000003,20.310000000000002,1.4240000000000066,2.019999999999996
33,0.718505416431427,0.7849383723258972,18.391999999999996,21.53,1.426000000000002,2.0900000000000034
34,0.7141611099433899,0.7829101910591125,18.098,21.269999999999996,1.4599999999999937,2.0799999999999983
35,0.7021052419090271,0.7838261140823364,17.762,20.930000000000007,1.4080000000000013,2.019999999999996
36,0.6991840941238403,0.7881187902450562,17.558000000000007,21.450000000000003,1.421999999999997,2.569999999999993
37,0.6905250366020202,0.7545491344451905,17.269999999999996,19.730000000000004,1.3900000000000006,1.9000000000000057
38,0.6838542428779602,0.7876672450065613,16.938000000000002,21.409999999999997,1.3379999999999939,2.239999999999995
39,0.6855032034683227,0.8056203523635864,16.941999999999993,21.989999999999995,1.3119999999999976,2.5400000000000063
40,0.6768983694076538,0.7734425784111023,16.686000000000007,20.33,1.2980000000000018,2.530000000000001
41,0.6191651177310944,0.6799057893753052,14.298000000000002,16.810000000000002,0.9579999999999984,1.5
42,0.6052649798202515,0.6870064859390259,13.706000000000003,17.310000000000002,0.9080000000000013,1.4399999999999977
43,0.6066965364837646,0.6888646559715271,13.650000000000006,17.269999999999996,0.882000000000005,1.6200000000000045
44,0.6001784418296814,0.6810266308784485,13.334000000000003,17.069999999999993,0.8419999999999987,1.4000000000000057
45,0.5961411423683166,0.6883725955963135,13.191999999999993,16.83,0.8520000000000039,1.5400000000000063
46,0.5945893442726136,0.6713449931144715,13.117999999999995,16.480000000000004,0.8499999999999943,1.3900000000000006
47,0.5920928037643433,0.6843396667480469,13.168000000000006,17.180000000000007,0.8919999999999959,1.3299999999999983
48,0.5906302912521363,0.6849831260681153,13.031999999999996,16.989999999999995,0.7960000000000065,1.5300000000000011
49,0.5842507216262818,0.6882388204574585,12.786000000000001,16.61,0.7900000000000063,1.6400000000000006
50,0.5856157766532898,0.686397186088562,12.858000000000004,17.17,0.804000000000002,1.730000000000004
51,0.5815387536239625,0.6750733132362365,12.647999999999996,16.459999999999994,0.8299999999999983,1.7399999999999949
52,0.5777481067276001,0.6644892972946167,12.439999999999998,16.17,0.8580000000000041,1.4899999999999949
53,0.5795351672172546,0.6788466454982758,12.634,16.349999999999994,0.7519999999999953,1.519999999999996
54,0.5807659013175964,0.6809376568794251,12.590000000000003,16.75,0.7819999999999965,1.4399999999999977
55,0.5758230002021789,0.6876254227638244,12.322000000000003,17.17,0.7480000000000047,1.6899999999999977
56,0.5793558990097046,0.668514120388031,12.602000000000004,16.209999999999994,0.7360000000000042,1.519999999999996
57,0.5705438773345948,0.6700613099098206,12.105999999999995,16.150000000000006,0.8179999999999978,1.519999999999996
58,0.5708362728118896,0.6853839425086975,12.248000000000005,17.17,0.7579999999999956,1.4599999999999937
59,0.5728323957443238,0.6820725037574769,12.147999999999996,16.870000000000005,0.7900000000000063,1.6200000000000045
60,0.5663134419250488,0.6689657967567444,11.963999999999999,16.379999999999995,0.8359999999999985,1.4699999999999989
61,0.5681056077384948,0.6664568851470948,12.061999999999998,16.25,0.7219999999999942,1.5499999999999972
62,0.5652965977859498,0.6785867359161377,11.951999999999998,16.67,0.7519999999999953,1.6500000000000057
63,0.5663602464485168,0.666957814025879,12.004000000000005,16.129999999999995,0.7219999999999942,1.5799999999999983
