epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,1.8752792098236084,1.7767140308380127,68.742,62.56,17.311999999999998,13.75
2,1.671329126663208,1.7221846218109131,60.322,61.79,11.441999999999993,12.480000000000004
3,1.6061104931640624,1.5566254638671875,57.378,54.46,10.280000000000001,9.709999999999994
4,1.5749448694610595,1.5631005895614625,55.964,53.75,9.793999999999997,10.370000000000005
5,1.535144840774536,1.4893738784790038,54.44,52.43,9.072000000000003,7.980000000000004
6,1.5223819290542602,1.4209698417663574,53.674,49.63,9.049999999999997,7.730000000000004
7,1.490614976501465,1.4808791255950928,52.14,51.11,8.469999999999999,8.75
8,1.4797294524383544,1.4488106145858766,51.904,50.66,8.444000000000003,7.650000000000006
9,1.4811962436676025,1.4596856117248536,52.016,52.36,8.317999999999998,7.769999999999996
10,1.4793376083755494,1.4380524572372437,52.074,50.5,8.347999999999999,7.290000000000006
11,1.4793802043151856,1.4383236703872682,52.008,50.07,8.498000000000005,8.0
12,1.4795620042800903,1.4400432130813599,51.944,51.18,8.397999999999996,7.8799999999999955
13,1.4637282622528076,1.5851922828674316,51.474,54.23,8.114000000000004,9.939999999999998
14,1.4779163731765748,1.3509473239898682,52.032,47.77,8.367999999999995,6.569999999999993
15,1.477568145980835,1.402948603439331,51.964,49.46,8.310000000000002,7.170000000000002
16,1.4564455918884278,1.485721264076233,51.102,50.8,8.010000000000005,8.730000000000004
17,1.4649801755523681,1.4063311769485474,51.564,48.17,8.272000000000006,7.989999999999995
18,1.4673635590362548,1.4030312366485596,51.3,48.45,8.310000000000002,7.280000000000001
19,1.4564259420394898,1.4038215103149414,51.17,48.92,8.159999999999997,7.840000000000003
20,1.4535020544052124,1.3697352827072145,50.998,47.43,7.959999999999994,6.769999999999996
21,1.4420507674407959,1.4258695205688476,50.718,49.85,7.8700000000000045,8.11
22,1.437130292816162,1.3985122669219971,50.748,48.81,7.736000000000004,6.670000000000002
23,1.4498009365844726,1.4324994857788087,50.924,49.76,7.989999999999995,7.549999999999997
24,1.4483660767364501,1.4748446054458617,50.818,50.57,7.715999999999994,9.310000000000002
25,1.4506190314102172,1.4440002269744874,50.86,49.94,7.8799999999999955,8.099999999999994
26,1.4559992672348023,1.4759281045913697,50.974,52.58,8.146,7.090000000000003
27,1.4459769622802734,1.3505408163070678,50.608,46.4,7.823999999999998,6.959999999999994
28,1.450768680076599,1.474144091796875,50.768,50.77,8.105999999999995,8.89
